sender,message
ori, 21 כלא?
ori, כבה הדוג
ori, הדוד
ori," צעצוע, אתה יכול לשלוח לי בבקשה את הדף נוסחאות האחרון שעשית? תודה"
ori, לא את המעודכן
ori," כה, תבורך"
ori, תודה
ori, יש לך את הקובץ וורד?
ori, צריך לערוך שטויות שכתבת שמה 
ori, 2 שגיאות בנוסחאות ולהעיף אינטגרלים מיידים שנותנים 
ori," מזה משנה, שלח"
ori, אני אצלם לך
ori, <‎image omitted>
ori, <‎image omitted>
ori," תודה, כן"
ori, יאפס
ori, יהומ
ori, ו
ori, מפה הייתי שולח לך כאפה
ori, ישר לך ואוהב היה פטתח תפה משוק וואלה הייתי מכניס לך תראש לפה שלו
ori, ואז שקורן שמה היה צוחק את שניכם לתחת שלו
ori, יאפס מניאק
ori, אל תחזור הבייתה או שאתה הולך אחר זה להדסה
ori, דרדסומו
ori, יש לך אוצר מילים רחב
ori, יכושל
ori, אין לך מקום פה
ori, אתה לא שייך
ori, תקשיב לו אולי תדע משהו
ori, תותח? אולי תותח מים
ori, יאפב
ori, יאפב
ori, יאפס
ori, יחלש
ori, כנראה שלא
ori, <‎image omitted>
ori, <‎image omitted>
ori, 90/240
ori," אני לא מגיע, אז אם אתה הולך תגיד לי מה היה"
ori, על הרצפה
ori," שמרתי לך, אפילו לא שורה ראשונה, בניגוד לפעמים קודמות"
ori, לא יודע ולא יודע
ori, תודה!
ori, אני כבר במיטה אחי
ori, בחיים שלך תותים
ori," מיטה, עייף"
ori," אחותך, שמרו לי עליהם או קנס"
ori, שמתי לך מחוץ לחדר שלי
ori, קח מהר שלא יגנבו לי יזין
ori," מתי אתה בא לקחת, לא רגוע שזה ככה"
ori, מחוץ לחדר זלי
ori, שלי*
ori, אני כן
ori, ואין לי גוח להתלבש
ori, כוח*
ori, כי תחתונים אנד שיט
ori, קיצר אני מכניס לחדר ואין פינג פונג
ori, עליך
ori, 1300 שקל
ori, שלח..
ori, לא חושב שיש על מה לערער
