sender,message
lilach, <‎image omitted>
lilach, חחחחחח כן
lilach, חחחחח רגועה לגמרי נשבעת רצתי לעשות פיפי
lilach, לאא
lilach, יותר
lilach, חחחחח כי כיף איתי
lilach, סבבה כזה
lilach, חחחחח כן
lilach, באיזה שעה הטיסה שלך
lilach, אההה בצהריים יש לך זמן
lilach, חחחח כן אני רצה לשדה
lilach, עד מאוד
lilach, למה יבשה
lilach, עכשיו אני דווקא סבבה
lilach, יחסית אליי
lilach, כי אתה רקוב אז אני מרגישה בנוח הבנת
lilach, חחחחחחחח
lilach, לא יודעת איך להסבייר את זה
lilach, זה פשוט יושב עלייך
lilach, כי אתב מתנשא כזהה
lilach, חחחחחחחח עאלק לא מתנשא
lilach, חחחחחח לא אמרתי שלא חמוד
lilach, אמרתי שאתה מתנשא
lilach, אין בעיה תזכור
lilach, לא מבטיחה שתהיה
lilach, נראה אני אחליט בהמשך
lilach, חחחחחח כן ממש אני
lilach, אויייש
lilach, אני לא אגיב בכלל
lilach, חחחח נו ואיך זה מרגיש שמתנשאים עלייך?
lilach, חחחחח
lilach, טוב ריקבון אני עולה לישון
lilach, תעשה חיייים
lilach, נדבר נדבר
lilach, חחח לילה טוב 😘😘😘
lilach, בוקר מצויןןן
lilach, איך ישנת
lilach, חחחחחח כןכן
lilach, חחחחחחח עוד מוקדם מדי בשבילי
lilach, חחחחחחח מעאפן
lilach, תקנה לי אמ אנד אמ
lilach, חחחחח
lilach, כן
lilach, 4
lilach, יש שם 4 פלוס אחד
lilach, קח לך אחד
lilach, חחחחחחחחחח
lilach, חחח אני כבר אחרי סידורים
lilach, חחחח הייתי אצל התופרת
lilach, אמא שלי שלחה אותע
lilach, לגמריי
lilach, תעשההה חיים רקוב ואני רצינית לגבי האמ אנד אמ
lilach, ❤️❤️
lilach, חחחחח אני לא כזאת קטנה
lilach, אני בגובה שלך
lilach, יואוו מקנאה בכם
lilach, <‎image omitted>
lilach, חחחח ואני יסתובב עם העיניים שלך? בחיים לא
lilach, חחחחח שחורות בלי טעם
lilach, חחחחחחחחחחח חי בסרט
lilach, <‎image omitted>
lilach, בחזרההה
lilach, הכחול
lilach, יואוווו
lilach, חחחח תראה מה שלחו לקבוצה שלנו
lilach, <‎image omitted>
lilach, <‎image omitted>
lilach, שווים
lilach, חחחחח סתם הייתם מכוערים
lilach, חחחחח לא יודעת אני עוד מחליטה מי הכי רקוב פה
lilach, חחחחחחחחחחח
lilach, תשלח תמוונותת
lilach, חחחח תשמור עליו
lilach, בוקר מצויןןן
lilach, חחחח בדרך לצוק
lilach, תודה תודה
lilach, מה אתם עושים היום
lilach, חחחחח רקוב עד מאוד
lilach, חחח מה השעה אצלכם??
lilach, אני יודעת לחשב לבד
lilach, הגזמת
lilach, חחחחחחחחח
lilach, חחחחח באמת שהיית רוצה להיות במקומי
lilach, <‎image omitted>
lilach, עכשיו הגעתי הביתה
lilach, מדוע
lilach, לא מפריע לי
lilach, איפה אתה?
lilach, חחחחחחח אני יודעת דפוק אבל אתם לא יוצאים
lilach, חחח עושים חיים
lilach, רבנו עם חברה שלך
lilach, חחח סתם נהיה ריב באיזה קבוצה
lilach, יצאו על יולי
lilach, לא לא רבות
lilach, כאילו התווכחנו בקטנה
lilach, חחחחחח תודה על האישור
lilach, חח הם חפרו בקבוצה על אילת ואז יולי אמרה שהם רקובים והם התחילו לריב
lilach, חחחחחח כי האקס שלה היה שם איתם
lilach, התעצבנה
lilach, חחחחחחחחחחח אני יודיע לה
